participant,cont_age,gender,age,animal,drawing,high_low_left,like_high_effort,like_low_effort,like_more,friend,effort,like_gift,appreciate,reciprocity
1,4.214,female,5,3,15,High,6,7,-3,0,1,-3,-1,0
3,5.101,male,5,4,17,Low,7,7,-3,-2,3,-3,-3,1
4,6.418,female,5,2,18,High,7,7,-1,1,2,-1,0,0
7,5.755,female,5,4,21,Low,4,7,-3,-1,3,-3,-3,1
8,6.905,female,6,2,22,High,7,7,1,0,3,0,1,1
10,6.19,male,6,1,24,High,6,5,0,0,3,0,0,0
12,5.421,male,5,2,26,High,7,6,0,0,3,0,0,1
13,7.502,female,7,3,27,High,3,3,0,0,3,-3,3,1
14,7.669,female,7,1,28,High,5,5,0,2,3,3,3,1
15,5.462,female,5,4,29,High,7,7,3,3,3,0,0,0
17,6.977,male,5,3,31,Low,2,7,-3,1,3,-3,-1,0
18,6.253,female,6,1,32,High,4,7,-3,0,3,-3,-3,0
19,7.956,female,7,4,33,High,5,6,-1,2,2,-1,2,0
22,5.536,female,5,2,37,Low,7,7,0,0,3,0,0,1
23,6.426,male,6,4,36,Low,7,7,0,0,3,0,0,1
24,6.557,male,6,3,38,High,4,5,0,-1,1,0,0,0
26,6.957,female,6,3,40,High,3,7,-3,-2,1,-3,-2,0
27,6.125,female,6,4,33,Low,7,7,0,-3,3,-3,1,1
28,6.505,male,7,2,37,High,5,5,-2,0,3,-3,0,0
29,7.76,female,7,2,42,High,5,7,-3,-3,1,-3,-3,0
30,4.991,male,4,4,43,Low,7,7,0,1,3,-3,-3,0
32,5.81,male,5,1,44,Low,5,7,0,3,3,-3,3,0
34,7.124,female,7,3,47,Low,6,6,0,0,3,0,0,0
35,5.569,female,5,1,49,Low,7,4,0,-3,3,1,0,0
36,5.224,male,5,1,51,Low,7,7,-3,0,2,-2,-2,0
37,5.18,female,5,1,55,Low,5,7,0,-3,3,-3,-3,0
38,7.89,male,7,3,52,Low,7,4,3,3,3,3,3,1
40,5.287,male,5,3,35,Low,7,5,0,1,3,1,1,1
41,6.103,male,6,2,48,Low,7,7,3,-3,1,-3,3,1
42,5.656,male,5,2,46,Low,7,7,0,-3,3,-3,-3,0
43,4.063,male,4,2,53,Low,5,7,-3,3,1,-1,3,1
44,6.363,male,6,1,57,Low,7,7,1,0,3,1,1,1
45,6.584,female,6,4,56,High,5,5,0,1,3,-1,-1,0
46,7.278,female,7,2,53,Low,4,6,-2,0,3,-2,2,0
48,5.224,male,5,1,50,High,7,7,0,-3,3,-3,0,0
50,6.664,female,6,2,53,Low,7,7,3,3,3,3,3,1
54,6.256,male,6,3,73,Low,7,6,0,0,3,0,2,1
55,4.57,female,4,3,57,High,5,7,-3,-3,3,-3,-3,0
56,7.6,male,7,4,36,Low,4,5,-1,0,3,-1,0,1
57,6.382,male,7,4,43,High,4,7,-3,0,3,-3,-3,1
60,4.348,female,4,3,38,High,7,7,0,3,0,0,1,1
61,4.405,female,4,2,59,Low,7,7,-2,0,0,-3,-3,0
62,4.449,male,4,4,36,High,4,7,-3,-3,-3,-3,-3,0
63,7.324,male,7,4,74,High,6,7,-1,0,2,-2,2,0
64,7.5,male,7,1,69,Low,7,6,0,3,3,3,0,1
